"","AUC_CV","C","sigma","AUC_Test","TPR","ACC","Nsv"
"1",0.838501390363493,1,0.1,84.7029987554173,0.789927609286451,0.766759130836801,2572
"2",0.844447664568499,1,0.1,84.5438470039572,0.802043659896089,0.769764216366158,2556
"3",0.834337803526077,1,0.1,84.5829798481844,0.794209604728171,0.764216366158114,2622
"4",0.839471865020006,1,0.1,84.860332093424,0.792309925443842,0.767914932963477,2573
"5",0.845707614451253,1,0.1,84.6451602162072,0.794773374790808,0.768377253814147,2551
"6",0.844720634676789,1,0.1,84.5308716162766,0.773959641025011,0.767452612112806,2546
"7",0.855670640159293,1,0.1,84.3636474882274,0.810656896405563,0.78455848358761,2500
"8",0.839153236340984,1,0.1,84.7259872274456,0.811317960392646,0.778548312528895,2553
"9",0.852697313902308,1,0.1,84.4312529992583,0.800705929704508,0.776236708275543,2515
"10",0.847908778015514,1,0.1,84.3095349250439,0.798857249964338,0.77253814147018,2557
"11",0.838553161823248,1,0.1,84.6727130088681,0.789323994646804,0.767683772538141,2600
"12",0.842422683939567,1,0.1,84.6110063884107,0.79462113010096,0.768377253814147,2572
"13",0.840914326452511,1,0.1,84.7038567204492,0.786986749205251,0.768608414239482,2580
"14",0.842353919178171,1,0.1,84.6449015313685,0.784293747232435,0.766990291262136,2577
"15",0.834971657570031,1,0.1,84.5565012262195,0.782618217071211,0.761211280628756,2621
"16",0.849326279315416,1,0.1,84.3908490181177,0.793306717038388,0.779935275080906,2518
"17",0.847243429623403,1,0.1,84.5362506608083,0.799463909313712,0.776930189551549,2547
"18",0.850025848457201,1,0.1,84.3745257762107,0.812865111809934,0.780397595931577,2509
"19",0.846391648466717,1,0.1,84.3243753961231,0.797110440006654,0.774387424872862,2543
"20",0.837548990154266,1,0.1,84.5845115748322,0.791772487984867,0.769764216366158,2588
"21",0.844414603026794,1,0.1,84.3396290390837,0.800728900728901,0.769995376791493,2527
"22",0.85106177160965,1,0.1,84.0670146504768,0.814595958433273,0.781322237632917,2528
"23",0.840595329500254,1,0.1,84.5732624036523,0.793833552340042,0.771382339343504,2603
"24",0.834979998678138,1,0.1,84.586681822525,0.795183786422264,0.76629680998613,2590
"25",0.85974742213593,1,0.1,84.4156273301637,0.801695240696741,0.78502080443828,2459
"26",0.840276069532753,1,0.1,84.7679187444634,0.784786237943582,0.766759130836801,2592
"27",0.841576187457997,1,0.1,84.6702636939524,0.790774432140891,0.770457697642164,2565
"28",0.832885795941989,1,0.1,84.564772283432,0.790068400870822,0.763291724456773,2604
"29",0.836685176697464,1,0.1,84.8278199047583,0.787334021540694,0.764909847434119,2609
"30",0.844646507688013,1,0.1,84.5606198012538,0.796963264659716,0.770920018492834,2541
"31",0.836621767708756,1,0.1,84.2291772801106,0.791997025456318,0.774387424872862,2582
"32",0.842549766385054,1,0.1,84.6568597047351,0.796069722079206,0.770457697642164,2590
"33",0.846901078870553,1,0.1,84.8002779700029,0.792621592613691,0.776699029126214,2553
"34",0.833632494346504,1,0.1,84.6439955629645,0.797837620410495,0.770688858067499,2605
"35",0.833114289160886,1,0.1,84.8813076621459,0.783029510366627,0.757281553398058,2628
"36",0.855071106097024,1,0.1,84.1503925075727,0.801049188906332,0.779241793804901,2483
"37",0.839158591876623,1,0.1,84.7421256944678,0.77942393685441,0.762367082755432,2591
"38",0.843184924918439,1,0.1,84.4521030353523,0.78992328304368,0.768146093388812,2549
"39",0.835061602435122,1,0.1,84.8618565814681,0.781977916907754,0.75959315765141,2636
"40",0.845782754804715,1,0.1,84.6020112803353,0.806444528814508,0.771844660194175,2555
"41",0.837702811687072,1,0.1,84.5913137669557,0.791630971641996,0.763754045307443,2576
"42",0.840801137836569,1,0.1,84.2734872499234,0.793824898976996,0.770688858067499,2565
"43",0.842641482645682,1,0.1,84.7372470660415,0.795735317622794,0.770688858067499,2536
"44",0.841801996794602,1,0.1,84.3878707136608,0.802548616698583,0.770457697642164,2553
"45",0.838876479936948,1,0.1,84.5816113710998,0.786102386904425,0.761904761904762,2602
"46",0.84089192355468,1,0.1,84.6199853048725,0.791319461898951,0.769070735090153,2558
"47",0.84428497280084,1,0.1,84.3203406365003,0.797021357932672,0.773231622746186,2525
"48",0.831382211075582,1,0.1,85.0651857219989,0.789448647053618,0.760980120203421,2678
"49",0.850929722100996,1,0.1,84.0935288939916,0.799818349525253,0.774849745723532,2512
"50",0.847416898807506,1,0.1,84.3386773531824,0.800301899984229,0.777623670827554,2538
"51",0.841413922924754,1,0.1,84.607493570215,0.807434759607137,0.774849745723532,2576
"52",0.85284232182644,1,0.1,84.1621851455013,0.809041362632722,0.78502080443828,2489
"53",0.84053362556484,1,0.1,84.6067676144564,0.798714877569666,0.769301895515488,2577
"54",0.839876830293408,1,0.1,84.5661148539349,0.782418783256569,0.763060564031438,2601
"55",0.842272114844557,1,0.1,84.3254914745249,0.785354141656663,0.773231622746186,2574
"56",0.846602494712872,1,0.1,84.2119534035076,0.794162282237026,0.776930189551549,2490
"57",0.840881912387792,1,0.1,84.7532761920495,0.78785640721886,0.762367082755432,2579
"58",0.847010568733521,1,0.1,84.4163690965567,0.796778563184681,0.772306981044845,2542
"59",0.840321681023918,1,0.1,84.573866827064,0.796732376981496,0.767452612112806,2579
"60",0.849076956823746,1,0.1,84.4166681651846,0.798943341099545,0.776236708275543,2563
"61",0.84874144298817,1,0.1,84.6491564969364,0.794039409748472,0.781322237632917,2517
"62",0.83793268906741,1,0.1,84.414009692719,0.785545827964087,0.763291724456773,2594
"63",0.842202412553405,1,0.1,84.7544793241857,0.803635125562484,0.775080906148867,2598
"64",0.852610747220792,1,0.1,84.2953285937496,0.810941159517518,0.782246879334258,2492
"65",0.835266569716452,1,0.1,84.7716586262288,0.777371418459693,0.761673601479427,2597
"66",0.848815194400446,1,0.1,84.5159776176277,0.793354160779087,0.770457697642164,2499
